komentar,komentar_bersih
Kesalahan Erik Tohir saat mengganti STY.kacang lupa pada kulitnya.STY menggunakan jiwa & raganya untuk Indonesia,salah erik tohir ganti stykacang lupa kulitnyasty jiwa raga indonesia
sepak bola sudah terlalu di politisasi..,sepak bola politisasi
"Saya tidak yakin ada yang berani mundur, di Indonesia ni pejabat mana punya malu? 😊",berani mundur indonesia ni jabat malu
"saya lebih memilih gagal bersama STY karena dia mulai dari nol, dia meyakinkan masyarakat indonesia utk yakin bisa main di piala dunia",pilih gagal sty nol masyarakat indonesia main piala dunia
"Setuju Bang, dengan segala support nya PSSI mesti bertanggung jawab pada masyarakat Indonesia",tuju bang support pssi mesti tanggung masyarakat indonesia
"Bung Ferry, Erick Thohir bukan sekedar dipecat Erick Thohir harus di penjarakan karena sudah mengkhianati negara dan rakyat Indonesia dengan politiknya menghambur uang rakyat melalui BUMN dan APBN mendatangkan pelatih mafia dari Belanda maka pupus lah harapan rakyat melihat timnas bermain di pildun",ferry erick thohir dar pecat erick thohir penjara khianat negara rakyat indonesia politik hambur uang rakyat bumn apbn pelatih mafia belanda pupus harap rakyat timnas main pildun
jiwa ksatria dan korsa,jiwa ksatria korsa
"sty dan Patrick tentunya berbeda Sty debut bukan saat kualifikasi pildun.. beliau memiliki pengalaman yang jauh lebih matang dengan sepak bola Indonesia, kekalahan di era sty tentunya biasa aja karena bukan kualifikasi pildun (tapi gw ingat bgt kekalahan lawan cina) reaksi netizen sama seperti reaksi sekarang kepada Patrick Kesimpulannya ? Karena semua netizen pada ekspektasi tinggi, tidak punya akal sehat, sehingga tidak bisa apresiasi sedikitpun usaha... Jadinya main salah2an setiap kali kalah. Gw yakin jika pelatihnya sty sekarang-pun beliau akan dihujat habis2an Padahal dari pada sibuk ngurusin pelatih dan pemain, kenapa gak fokus ke Erick Tohir sebagai sumber masalah ? Dia loh biang yg bikin ganti pelatih wkwkkw BUMN gagal, PSSI gagal cuma bisa naturalisasi pemain, dan sekarang megang kemenpora ?! Gila sih ini orang powernya 😂 Dari pada out Patrick, mending out Tohir, sebelum dia menghancurkan cabang olahraga di Indonesia.",sty patrick beda sty debut kualifikasi pildun beliau milik alam matang sepak bola indonesia kalah era sty kualifikasi pildun kalah lawan cina reaksi netizen reaksi patrick simpul netizen ekspektasi akal sehat apresiasi sedikit usaha main salah an kali kalah latih sty sekarang beliau hujat habis an sibuk ngurusin pelatih pemain fokus erick tohir sumber loh biang bikin ganti pelatih wkwkkw bumn gagal pssi gagal naturalisasi pemain megang kemenpora gila orang powernya out patrick mending out tohir hancur cabang olahraga indonesia
cuma sayangnya semua dedikasi dan perjuanan coach shin harus dibayar mahal karena ketum pssi dan pelatih pk ternyata suka main judi..,sayang dedikasi juan coach shin bayar mahal tum pssi pelatih pk suka main judi
"​ @SeongJeonHwan dududuh, ini terlalu fakta, dari jaman persib bang ini mah wkwkwk",dududuh fakta jaman persib bang mah
"STY emang gak bawa perubahan kok, di ulsan aja dipecat bukti sama2 medioker",sty emang bawa ubah ulsan pecat bukti medioker
"​ @annatarsauron2059 tapi bisa lolosin Indo 2x berturut-turut Piala Asia 2023 & 2027 (Piala Asia yang akan datang) padahal kita udah absen Piala Asia lebih dari 16 tahun? Tepatnya 2007 silam terakhir kita lolos sebagai tuan rumah. Ada gitu sebuah tim dengan peningkatan bertahap yang jelas kaya gini dikatakan tidak berkembang dan tidak ada perubahan. Bang lu boleh lah kontra, tapi minimal kasih argumen yang berbobot napa 😅",lolosin indo berturutturut piala asia piala asia udah absen piala asia tepat silam lolos tuan rumah gitu tim tingkat tahap kaya gin kembang ubah bang kontra minimal kasih argumen bobot napa
"@annatarsauron2059 apa urusannya ulsan, yg penting dia yg udah membawa perubahan ke timnas",urus ulsan udah bawa ubah timnas
"​ @annatarsauron2059 ga pernah nonton bola situ, ini orang yg g bisa terima kenyataan, saya bukan penggemar sty tapi saya mengakui Indonesia bisa sejauh ini berkat sty, yg gagal adalah di piala aff, tp bukannya sebelumnya semua pelatih gagal di piala aff, tp belum ada satupun pelatih yang bisa membawa Indonesia sampai rount 3 selain sty, akui lah itu",nonton bola situ orang terima nyata gemar sty aku indonesia berkat sty gagal piala aff pelatih gagal piala aff satu pelatih bawa indonesia rount sty aku
​ @arifsubrotobsi lha sty lebih banyak jasa nya dari pada kejelekannya.piala asia 2027 sty loh ngelolosin,lha sty jasa kejelekannyapiala asia sty loh ngelolosin
"STY aja dipecat diclub korea aslinya emang medioker semua pelatihnya, menurut gua cuman Luis Milla yg bagus mainnya",sty pecat diclub korea asli emang medioker latih cuman luis milla bagus main
Bersuara terus itu gk penting yng penting itu para suporter kompak stop nonton bola di stadion kosongkan bangku stadion agar jgn kompak itu pejabat dan pengamat yng merusak timnas yng udh bgus di jalan nya,suara yng suporter kompak stop nonton bola stadion kosong bangku stadion jgn kompak jabat amat yng rusak timnas yng udh bgus jalan
