komentar,komentar_bersih,label_final,alasan_label
"Gw sama2 ga yakin keduanya Apalagi sty, terlalu banyak kesempatan yang diberikan, tapi ya gitu² aja",sty sempat ya gitu,negatif,Kritik terhadap STY dan keraguan terhadap pelatih.
"Jgnkan sty bijan, luis mila, indrasafri juga bisa menang klw main d kandang dengan squad yg sama 😂😂",jgnkan sty bijan luis mila indrasafri menang klw main kandang squad,negatif,Kritik/sindiran bahwa menang di kandang dianggap bukan pencapaian khusus.
DAN GUE BERANI TARUHAN SI BINTANG LAUT DKK KALO MEGANG DRI NOL GK BAKAL BISA SAMPE SEKARANG,berani taruh si bintang laut dkk kalo megang dri nol sampe,negatif,Kritik terhadap pihak yang dianggap tidak mampu membangun tim dari awal.
"Km byk bicara tp ga tau semua mslhnya... 😂 di sini mslh nya itu si kliver nya sendiri yg byk gaya😂😂😂😂 intinya balikin lah STY yg udh jls lg bangun dri pondasi.. Bkn ky skrg yg udh jadi pondasi tp mlh di acak""....",km byk bicara mslhnya mslh si kliver byk gaya inti balikin sty udh jls lg bangun dri pondasi bkn ky skrg udh pondasi mlh acak,negatif,Sindiran dan kritik terhadap Kluivert serta dukungan agar STY kembali.
​ @Sumarto-y8o setuju bang,tuju bang,netral,Komentar persetujuan singkat tanpa konteks sentimen yang jelas.
Tohir udah di siap minyak Arab itu,tohir udah minyak arab,negatif,Sindiran terhadap Erick Thohir/isu minyak Arab.
Ni lah ulah towel justin dan Akmal mereka lah yg menghancurkan sepak bolah indonesia,ni ulah towel justin akmal hancur sepak bolah indonesia,negatif,Menyalahkan pihak tertentu karena dianggap merusak sepak bola Indonesia.
Gatot (gagal total),gatot gagal total,negatif,Menyatakan gagal total.
Smoga kita masih diberi kesempatan untuk melihat indonesia masuk piala dunia...tah kapan,smoga sempat indonesia masuk piala dunia,positif,Berisi harapan agar Indonesia masuk Piala Dunia.
Hidup patrick...pssi udah kontrak dia 3 tahun ke depan,hidup patrickpssi udah kontrak,positif,Ungkapan dukungan kepada Patrick/PSSI.
​ @HermanIpoet mafia judi kq di percaya,mafia judi kq percaya,negatif,Sindiran/kritik tentang mafia judi.
"Intinya dh gagal,, pecat PK",inti dh gagal pecat pk,negatif,Menyatakan gagal dan meminta PK dipecat.
Membangun Kualitas team bukan seenak Mbacot..butuh Proses.. Intinya perbaiki kualitas kompetisi lokal..kemudian di kompetsi Region Asean..dan Asia.. Recrut pemain Timnas berdasar kualitas bukan titipan ..,bangun kualitas team enak mbacotbutuh proses inti baik kualitas kompetisi lokalkemudian kompetsi region aseandan asia recrut pemain timnas dasar kualitas titip,negatif,Kritik terhadap kualitas kompetisi dan rekrutmen pemain titipan.
6x laga 6poin gg bangettt,laga poin gg,positif,Menganggap capaian poin/laga sebagai hal bagus.
​ @sepertibiasalah tenang baru saya dipegang.kita lihat pk megang abis kontrak.bagusan sty apa pk.😂.,tenang dipegangkita lihat pk megang abis kontrakbagusan sty pk,netral,"Komentar menunggu perbandingan STY dan PK, belum ada sentimen jelas."
KINGG RIDHO NIH BOZZ SENGKOELL DONG BOZZZZZ🧡🧡🧡🧡🧡🧡🧡🧡🔥🔥,kingg ridho bozz sengkoell bozzzzz,positif,Pujian/dukungan kepada Ridho.
